Fan,Refrigerator,AirConditioner,Television,Monitor,Month,City,Company,TariffRate,ElectricityBill
16,23,2,6,1,10,Hyderabad,Tata Power Company Ltd.,8.4,3225.6
19,22,2,3,1,5,Vadodara,NHPC,7.8,3806.4
7,20,2,6,7,7,Shimla,Jyoti Structure,7.7,3203.2
7,22,3,21,1,6,Mumbai,Power Grid Corp,9.2,4370
11,23,2,11,1,2,Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),9.2,4204.4
13,22,0,18,1,6,Ratnagiri,Adani Power Ltd.,7.4,3485.4
23,22,3,20,12,5,New Delhi,Kalpataru Power,8.5,6417.5
22,23,0,21,1,12,New Delhi,Adani Power Ltd.,8.5,4182
8,20,2,8,1,8,New Delhi,Orient Green,8.5,4641
10,23,0,18,7,1,Dahej,Sterlite Power Transmission Ltd,7.6,4392.8
16,22,3,14,1,6,Ahmedabad,Neueon Towers / Sujana Towers Ltd.,7.9,3555
5,19,2,20,1,12,Mumbai,Sterlite Power Transmission Ltd,9.2,4535.6
10,23,1,22,1,9,Hyderabad,KEC International,8.4,4132.8
11,22,3,19,1,11,Ahmedabad,Indowind Energy,7.9,4463.5
18,22,1,3,12,7,Noida,Unitech Power Transmission Ltd.,8.2,3394.8
21,23,3,5,1,12,Nagpur,Bonfiglioli Transmission Pvt. Ltd.,8.9,5286.6
9,21,3,6,1,2,Chennai,SJVN Ltd.,8.8,3071.2
17,22,0,3,1,4,Dahej,Tata Power Company Ltd.,7.6,2698
12,23,0,18,1,3,New Delhi,Neueon Towers / Sujana Towers Ltd.,8.5,3969.5
13,22,1,21,12,11,New Delhi,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",8.5,5491
23,23,0,15,1,8,Mumbai,Sterlite Power Transmission Ltd,9.2,4379.2
20,22,3,7,12,2,Ratnagiri,L&T Transmission & Distribution,7.4,4876.6
23,22,2,14,1,7,Faridabad,Guj Ind Power,8.1,5111.1
9,22,3,3,1,4,Faridabad,Jyoti Structure,8.1,3199.5
19,22,2,11,1,3,Noida,Guj Ind Power,8.2,3936
19,23,0,21,1,12,Nagpur,Torrent Power Ltd.,8.9,6034.2
22,23,2,11,1,8,Faridabad,Reliance Energy,8.1,5378.4
7,22,2,16,1,8,Nagpur,GE T&D India Limited,8.9,4583.5
21,22,0,19,1,7,Faridabad,Reliance Energy,8.1,4122.9
23,22,0,17,1,9,Faridabad,NTPC Pvt. Ltd.,8.1,5499.9
23,23,3,18,1,4,Hyderabad,KEC International,8.4,4737.6
23,23,0,9,1,4,Mumbai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",9.2,3790.4
18,22,2,18,1,12,Faridabad,NTPC Pvt. Ltd.,8.1,3790.8
11,23,0,20,1,8,Kolkata,L&T Transmission & Distribution,8.7,3932.4
5,21,3,17,1,10,Pune,GE T&D India Limited,9.1,4067.7
13,22,3,6,1,10,New Delhi,Sterlite Power Transmission Ltd,8.5,3068.5
14,22,2,4,1,2,Gurgaon,Optibelt Power Transmission India Private Limited,8.3,3668.6
7,20,0,18,1,1,Noida,Neueon Towers / Sujana Towers Ltd.,8.2,2517.4
15,22,0,20,1,10,Noida,GE T&D India Limited,8.2,4050.8
22,22,3,17,1,4,Pune,CESC,9.1,6360.9
